sample_name,experiment_type,coupling_constant_ps,integrator,traj_len,up1_nm,up2_nm,force,step_in_ps,epsilon-r
in_he1,water_in_helium,0.001,md,100000,0.8,1.0,500.0,0.002,1
in_vacuum1,water_in_vacuum,0.001,sd,2000,0.7,1.0,500.0,0.002,1
